source,split,image,bolt_boxes,nut_boxes,ignored_boxes,review_status
fastener_object_detection,train,fastener_object_detection__-10-x-1-2-Stainless-Sheet-Metal-Screw-Phillips-Pan-Head-300-Piece-Lot__S_1__68249_jpg.rf.70a86177035a3f4119a4f1f1ab839e39__2237303ac0.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0001_png_jpg.rf.bbee36d15b497fb4320dc077a8c991ad__a8b6d31e1f.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0002_png_jpg.rf.60429a324e8ff2e4d289e46a532494f7__8bf9e4cb5f.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0003_png_jpg.rf.fe59dbc1f4de8ed6451242ce9da9fbbe__f5229aab11.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0004_png_jpg.rf.5b95c86901ffb5a488fc908afef5cdda__7346c5dc65.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0005_png_jpg.rf.7a5a39ae075f06d0498ea6accecb9911__907c649618.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,valid,fastener_object_detection__0009_png_jpg.rf.38f48300b9b433c879d875fb8312eed8__a02d8a511d.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0010_png_jpg.rf.5e5711ba62d38297f7c47713e980cac3__004f4f33eb.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0011_png_jpg.rf.ea9381ef54f40b6d370f3bbd1aaa22f6__80ad39f3f1.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0012_png_jpg.rf.6525f35ffa09bb49f55e5e6e894b2f07__f699be54a9.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__01_png_jpg.rf.485a27088878424ccd22a2e14265f987__aad9ddf3d7.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__02002_jpg.rf.6f5d8a91fb76293711ffc6754cf6d738__e07f06eb54.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__02031_jpg.rf.a7567e7c1134da6f53755cf2cf8d914d__d6f82c07e9.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__0219559013_jpg.rf.0c79b3e03d901f58aa50ad10045ebdcc__2ac398e5c9.jpg,0,0,2,source_annotation_pending_spot_check
fastener_object_detection,valid,fastener_object_detection__02_png_jpg.rf.2762c0cfd5c3642261a2cb99b8981595__620a9dd879.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__03_png_jpg.rf.c6fc5938a4276c9a9b28fad82ddc2d0e__f386c8921e.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__040510_jpg.rf.539ad80aec0ca8039bf24910f400fbc9__40623caf26.jpg,0,0,1,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__04_png_jpg.rf.0f99740b78b1b8ce31a28be814ce1260__ff551784f4.jpg,0,0,2,source_annotation_pending_spot_check
fastener_object_detection,train,fastener_object_detection__05_png_jpg.rf.9e06e7cf7c13fce4614a54f4f5d9efb9__7c2c7a8a64.jpg,0,0,2,source_annotation_pending_spot_check
